DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
09-Oct-2025,EQ,"727.00","733.65","722.00","724.90","729.00","729.00","727.81","896.60","601.20",2025840,"1,47,44,29,143.15",50548
08-Oct-2025,EQ,"733.50","737.15","722.45","737.15","724.15","724.90","728.84","896.60","601.20",2211742,"1,61,20,09,658.35",31388
07-Oct-2025,EQ,"735.25","739.15","729.25","735.25","736.50","737.15","735.60","896.60","601.20",1940228,"1,42,72,31,445.80",27580
06-Oct-2025,EQ,"730.85","736.40","722.25","729.20","735.95","735.25","731.12","896.60","601.20",1893389,"1,38,43,03,345.55",26714
03-Oct-2025,EQ,"724.40","730.50","719.20","722.30","727.50","729.20","727.15","917.90","601.20",3313673,"2,40,95,23,919.00",55155
01-Oct-2025,EQ,"713.50","725.55","712.10","713.00","722.45","722.30","720.17","917.90","601.20",3535085,"2,54,58,63,297.60",72073
30-Sep-2025,EQ,"721.10","722.15","708.65","722.15","714.50","713.00","714.25","917.90","601.20",3248618,"2,32,03,21,251.10",83571
29-Sep-2025,EQ,"719.90","723.05","713.50","716.05","721.70","722.15","720.24","917.90","601.20",1927913,"1,38,85,67,792.70",43979
26-Sep-2025,EQ,"721.00","725.90","714.05","721.05","717.40","716.05","719.36","929.00","601.20",2092671,"1,50,53,90,341.95",66005
25-Sep-2025,EQ,"732.95","736.00","718.80","733.65","720.40","721.05","727.13","929.00","601.20",4485383,"3,26,14,65,433.90",71401
24-Sep-2025,EQ,"757.00","761.20","731.00","759.40","733.00","733.65","742.17","929.00","601.20",3640021,"2,70,15,18,927.20",72748
